"Season","Team","Conference","StatName","StatValue"
"2025","Akron","Mid-American","puntReturnsOpponent","23"
"2025","Akron","Mid-American","puntReturnTDs","0"
"2025","Akron","Mid-American","puntReturnTDsOpponent","0"
"2025","Akron","Mid-American","puntReturnYards","47"
"2025","Akron","Mid-American","puntReturnYardsOpponent","239"
"2025","Akron","Mid-American","rushingAttempts","430"
"2025","Akron","Mid-American","rushingAttemptsOpponent","432"
"2025","Akron","Mid-American","rushingTDs","9"
"2025","Akron","Mid-American","rushingTDsOpponent","18"
"2025","Akron","Mid-American","rushingYards","1637"
"2025","Akron","Mid-American","rushingYardsOpponent","1874"
"2025","Akron","Mid-American","sacks","25"
"2025","Akron","Mid-American","sacksOpponent","34"
"2025","Akron","Mid-American","tacklesForLoss","70"
"2025","Akron","Mid-American","tacklesForLossOpponent","72"
"2025","Akron","Mid-American","thirdDownConversions","52"
"2025","Akron","Mid-American","thirdDownConversionsOpponent","54"
"2025","Akron","Mid-American","thirdDowns","169"
"2025","Akron","Mid-American","thirdDownsOpponent","154"
"2025","Akron","Mid-American","totalYards","4265"
"2025","Akron","Mid-American","totalYardsOpponent","4624"
"2025","Akron","Mid-American","turnovers","17"
"2025","Akron","Mid-American","turnoversOpponent","20"
"2025","Alabama","SEC","firstDowns","282"
"2025","Alabama","SEC","firstDownsOpponent","200"
"2025","Alabama","SEC","fourthDownConversions","21"
"2025","Alabama","SEC","fourthDownConversionsOpponent","15"
"2025","Alabama","SEC","fourthDowns","33"
"2025","Alabama","SEC","fourthDownsOpponent","22"
"2025","Alabama","SEC","fumblesLost","7"
"2025","Alabama","SEC","fumblesLostOpponent","9"
"2025","Alabama","SEC","fumblesRecovered","9"
"2025","Alabama","SEC","fumblesRecoveredOpponent","7"
"2025","Alabama","SEC","games","13"
"2025","Alabama","SEC","interceptions","5"
"2025","Alabama","SEC","interceptionsOpponent","10"
"2025","Alabama","SEC","interceptionTDs","2"
"2025","Alabama","SEC","interceptionTDsOpponent","1"
"2025","Alabama","SEC","interceptionYards","172"
"2025","Alabama","SEC","interceptionYardsOpponent","136"
"2025","Alabama","SEC","kickReturns","18"
"2025","Alabama","SEC","kickReturnsOpponent","22"
"2025","Alabama","SEC","kickReturnTDs","0"
"2025","Alabama","SEC","kickReturnTDsOpponent","1"
"2025","Alabama","SEC","kickReturnYards","314"
"2025","Alabama","SEC","kickReturnYardsOpponent","380"
"2025","Alabama","SEC","netPassingYards","3551"
"2025","Alabama","SEC","netPassingYardsOpponent","2055"
"2025","Alabama","SEC","passAttempts","461"
"2025","Alabama","SEC","passAttemptsOpponent","338"
"2025","Alabama","SEC","passCompletions","301"
"2025","Alabama","SEC","passCompletionsOpponent","206"
"2025","Alabama","SEC","passesIntercepted","10"
"2025","Alabama","SEC","passesInterceptedOpponent","5"
"2025","Alabama","SEC","passingTDs","30"
"2025","Alabama","SEC","passingTDsOpponent","11"
"2025","Alabama","SEC","penalties","62"
"2025","Alabama","SEC","penaltiesOpponent","79"
"2025","Alabama","SEC","penaltyYards","540"
"2025","Alabama","SEC","penaltyYardsOpponent","727"
"2025","Alabama","SEC","possessionTime","25271"
"2025","Alabama","SEC","possessionTimeOpponent","21529"
